v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,p_bpm,p_rmssd,p_sdnn,p_lfhf,p_rrv,b_delta,b_theta,b_lalpha,b_halpha,b_lbeta,b_hbeta,b_lgamma,b_mgamma,b_att,b_med,b_poor,ts
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838569.6137867
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838569.6137867
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838569.6137867
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.82004,31.346895,47.020344,1.5,0.8233633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838815.4303954
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.22548,31.348112,47.022167,1.5,0.7903569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838816.4365427
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.688866,30.540976,45.811462,1.5,0.78510463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838817.4356432
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.18699,29.358324,44.037487,1.5,0.8230311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838818.4293733
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.361206,29.707298,44.560947,1.5,0.8425185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838819.4410136
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.76167,29.43345,44.150173,1.5,0.8159896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838820.4271557
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.50838,29.406216,44.10932,1.5,0.87410665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838821.4373999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.92902,28.40764,42.61146,1.5,0.7833852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838822.435933
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.98216,28.953419,43.430126,1.5,0.9185014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838823.4351332
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.476974,28.092493,42.13874,1.5,0.8503399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838824.4308717
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.13494,27.57698,41.36547,1.5,0.8155297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838825.433736
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.45951,27.142282,40.713425,1.5,0.7835733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838826.4294956
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.43032,26.54629,39.819435,1.5,0.90725076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838827.4435008
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.87387,26.371332,39.557,1.5,0.8535471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838828.4316068
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.85066,26.409466,39.6142,1.5,0.92333424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838829.439711
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.85066,26.409466,39.6142,1.5,0.92333424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838830.6078136
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.46154,31.878206,47.81731,1.5,0.87219274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838845.88319
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.066086,32.66225,48.993374,1.5,0.9024743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838846.883588
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.58498,33.569332,50.354,1.5,0.89721644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838847.8812454
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.07815,32.663048,48.99457,1.5,0.8662123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838848.8849368
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.971725,33.27365,49.910473,1.5,0.863419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838849.8837528
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.63227,32.231583,48.347374,1.5,0.7762083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838850.8822155
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.05191,33.18854,49.782814,1.5,0.82948905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838851.8819106
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.61436,32.226654,48.339985,1.5,0.921224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838852.8823164
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.09565,32.145237,48.217854,1.5,0.8239786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838853.8886554
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.57868,31.008013,46.512016,1.5,0.8726155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838854.888616
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4964,30.657656,45.986485,1.5,0.792324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838855.887792
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.72052,31.568056,47.352085,1.5,0.9289246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838856.8814325
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.271324,30.644163,45.966244,1.5,0.8061219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838857.8828564
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.84051,29.88005,44.820076,1.5,0.87844265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838858.8902128
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.03544,29.115765,43.67365,1.5,0.8224807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838859.8886275
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.450226,28.341635,42.512455,1.5,0.80069363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838860.8804483
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.69984,27.41104,41.116558,1.5,0.90946543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778838861.88273
